position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
medial,7,Mac,Say 'Mac' again,0,0,0,6,space,2.60577201843,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,48,wick,The word is 'wick',0,1,1,47,space,1.98724293709,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,4,rat,Say 'rat' again,0,2,2,3,space,1.3029191494,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,25,sort,Say 'sort' again,0,3,3,24,space,2.08741903305,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,60,wrought,The word is 'wrought',0,4,4,59,space,1.98639702797,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,13,kick,Say 'kick' again,0,5,5,12,space,1.70231318474,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,38,pack,The word is 'pack',0,6,6,37,space,2.05309796333,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,53,luck,The word is 'luck',0,7,7,52,space,2.18596291542,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,15,chick,Say 'chick' again,0,8,8,14,space,1.65286898613,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,9,writ,Say 'writ' again,0,9,9,8,space,1.53764605522,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,54,duck,The word is 'duck',0,10,10,53,space,2.00075483322,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,16,wick,Say 'wick' again,0,11,11,15,space,1.31956505775,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,47,chick,The word is 'chick',0,12,12,46,space,1.95339179039,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,14,mick,Say 'mick' again,0,13,13,13,space,1.30261492729,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,45,kick,The word is 'kick',0,14,14,44,space,1.86888504028,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,41,writ,The word is 'writ',0,15,15,40,space,2.27029490471,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,12,fit,Say 'fit' again,0,16,16,11,space,1.66682004929,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,64,cork,The word is 'cork',0,17,17,63,space,2.82012009621,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,29,talk,Say 'talk' again,0,18,18,28,space,1.52056097984,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,31,pork,Say 'pork' again,0,19,19,30,space,1.95207595825,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,50,shut,The word is 'shut',0,20,20,49,space,2.13626289368,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,30,walk,Say 'walk' again,0,21,21,29,space,1.51962995529,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,2,fat,Say 'fat' again,0,22,22,1,space,1.63514900208,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,33,cat,The word is 'cat',0,23,23,32,space,2.26941895485,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,27,port,Say 'port' again,0,24,24,26,space,1.70238614082,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
final,56,tuck,The word is 'tuck',0,25,25,55,space,2.21936202049,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
medial,18,shut,Say 'shut' again,0,26,26,17,space,1.68698406219,25,59.6935837607,m,glottal_pilot,2017_Nov_29_1409,m01,
