Spelling,FreqCount,Cbeebies_freq,CBBC_freq,BNC_freq,LogFreq(Zipf),LogFreqCbeebies(Zipf),LogFreqCBBC(Zipf),LogFreqBNC(Zipf),CD_count,CD_count_Cbeebies,CD_count_CBBC,CD,CD_cbeebies,CD_cbbc,DomPoS,DomPoSLemma,DomPoSFreq,DomPoSLemmaTotalFreq,AllPoS,AllPoSFreq,CapitFreq,Spell_check,Hyphen,Homophonic_entry,Double_word_entry,Freq_double_entry,ipa,cv
keep,106457,4057,10961,27813,5.72,5.84,5.9,5.44,32347,1990,3556,0.717,0.411,0.735,verb,keep,106453,154256,.verb.name.,.106453.4.,14494,UKUS,0,NA,NA,NA,kip,CVC
top,88872,2674,6969,23737,5.64,5.66,5.71,5.37,27645,1241,2569,0.613,0.256,0.531,adjective,top,42720,42720,.adjective.noun.name.verb.,.42720.40499.4306.1347.,6383,UKUS,0,NA,NA,NA,tɒp,CVC
cup,24989,642,1240,12262,5.09,5.04,4.96,5.09,10014,325,664,0.222,0.067,0.137,name,cup,14925,14925,.name.noun.,.14925.10064.,14928,UKUS,0,NA,NA,NA,kʌp,CVC
shop,22769,1255,1106,10745,5.05,5.33,4.91,5.03,9892,442,584,0.219,0.091,0.121,noun,shop,20575,28492,.noun.name.verb.,.20575.1130.1064.,1139,UKUS,0,NA,NA,NA,ʃɒp,CVC
deep,19045,708,1401,10700,4.98,5.08,5.01,5.03,11471,493,850,0.254,0.102,0.176,adjective,deep,15809,15809,.adjective.adverb.name.,.15809.2581.655.,1894,UKUS,0,NA,NA,NA,dip,CVC
pop,17959,1639,1881,3573,4.95,5.45,5.14,4.55,8816,705,1005,0.195,0.145,0.208,noun,pop,10748,10760,.noun.verb.name.adjective.,.10748.5807.1189.215.,3016,UKUS,0,NA,NA,NA,pɒp,CVC
ship,11760,526,853,4729,4.77,4.95,4.8,4.67,4528,167,357,0.1,0.034,0.074,noun,ship,11286,16081,.noun.verb.name.,.11286.315.159.,553,UKUS,0,NA,NA,NA,ʃɪp,CVC
sheep,9350,1013,1011,3044,4.67,5.24,4.87,4.48,2804,261,323,0.062,0.054,0.067,noun,sheep,8282,8301,.noun.name.,.8282.1068.,1084,UKUS,0,NA,NA,NA,ʃip,CVC
gap,7668,54,303,3442,4.58,3.97,4.35,4.53,4464,36,156,0.099,0.007,0.032,noun,gap,7410,8905,.noun.name.,.7410.258.,329,UKUS,0,NA,NA,NA,gæp,CVC
sharp,7214,391,946,4930,4.55,4.82,4.84,4.69,5035,235,561,0.112,0.048,0.116,adjective,sharp,6402,6402,.adjective.name.noun.,.6402.811.1.,869,UKUS,0,NA,NA,NA,ʃɑp,CVC
