Spelling,FreqCount,LogFreq(Zipf),V
that,3110587,7.19,æ
what,1209686,6.78,ɒ
get,618803,6.49,e
got,590673,6.47,ɒ
let,292314,6.16,e
bit,252546,6.1,ɪ
put,195594,5.99,ʌ
thought,139551,5.84,ɔː
sort,82115,5.61,ɔː
yet,52168,5.41,e
cut,45221,5.35,ʌ
shot,31707,5.2,ɒ
met,29035,5.16,e
short,26871,5.13,ɔː
fit,18693,4.97,ɪ
foot,16733,4.92,ʊ
shut,14350,4.85,ʌ
cat,13608,4.83,æ
bet,12788,4.8,e
pat,12640,4.8,æ
debt,12466,4.79,e
seat,12276,4.78,iː
fat,11832,4.77,æ
pot,11628,4.76,ɒ
sat,10079,4.7,æ
shit,9536,4.68,ɪ
chat,7933,4.6,æ
suit,7806,4.59,uː
net,6802,4.53,e
port,6241,4.49,ɔː
shirt,5976,4.47,ɜː
fought,5945,4.47,ɔː
pet,5780,4.46,e
kit,5592,4.44,ɪ
boot,5365,4.43,uː
bat,3975,4.3,æ
rat,3386,4.23,æ
dot,3340,4.22,ɒ
vat,3340,4.22,æ
jet,3260,4.21,e
pit,3192,4.2,ɪ
vet,3119,4.19,e
sheet,3010,4.17,iː
tart,2118,4.02,ɑː
lit,2111,4.02,ɪ
neat,2020,4,iː
dirt,2000,4,ɜː
nut,1968,3.99,ʌ
chart,1966,3.99,ɑː
wheat,1804,3.95,iː
gut,1800,3.95,ʌ
toot,1660,3.92,uː
cheat,1499,3.87,iː
mitt,1282,3.8,ɪ
rot,1224,3.78,ɒ
yacht,1191,3.77,ɒ
putt,861,3.63,ʌ
tat,693,3.54,æ
tit,606,3.48,ɪ
watt,568,3.45,ɒ
writ,500,3.4,ɪ
fart,494,3.39,ɑː
tut,450,3.35,ʌ
rut,398,3.3,ʌ
tot,389,3.29,ɒ
mart,345,3.23,ɑː
wrought,295,3.17,ɔː
soot,248,3.09,ʊ
mutt,242,3.08,ʌ
chit,194,2.99,ɪ
wart,151,2.88,ɔː
jot,147,2.87,ɒ
cert,117,2.77,ɜː
teat,103,2.71,iː
shat,101,2.7,æ
mort,91,2.66,ɔː
pert,84,2.63,ɜː
moot,81,2.61,uː
jute,70,2.55,uː
quart,65,2.52,ɑː
coot,64,2.51,uː
wort,62,2.5,ɜː
gnat,60,2.48,æ
jut,37,2.28,ʌ
curt,35,2.25,ɜː
ret,20,2.02,e
girt,7,1.6,ɜː
wert,16,1.93,ɜː
pete,5202,4.41,iː
nat,898,3.65,æ
bt,857,3.63,ɑː
bert,576,3.46,ɜː
bart,267,3.12,ɑː
bette,172,2.93,e
lotte,158,2.9,ɒ
vert,47,2.38,ɜː
gatt,39,2.3,æ
wot,36,2.26,ɒ
leet,24,2.09,iː
zoot,19,2,uː
phut,9,1.7,ʌ
waught,8,1.65,ɔː
vette,6,1.54,e
