position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
final,55,muck,The word is 'muck',0,0,0,54,space,2.60492992401,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,43,kit,The word is 'kit',0,1,1,42,space,1.88607001305,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,24,tuck,Say 'tuck' again,0,2,2,23,space,1.82043004036,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,2,fat,Say 'fat' again,0,3,3,1,space,1.48446393013,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,12,fit,Say 'fit' again,0,4,4,11,space,1.46893501282,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,62,walk,The word is 'walk',0,5,5,61,space,1.33475995064,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,58,short,The word is 'short',0,6,6,57,space,1.45295286179,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,49,cut,The word is 'cut',0,7,7,48,space,1.43558096886,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,6,pack,Say 'pack' again,0,8,8,5,space,1.13531589508,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,10,lit,Say 'lit' again,0,9,9,9,space,1.65339016914,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,35,chat,The word is 'chat',0,10,10,34,space,1.65352606773,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,42,lit,The word is 'lit',0,11,11,41,space,1.26983785629,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,44,fit,The word is 'fit',0,12,12,43,space,1.60285210609,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,8,tack,Say 'tack' again,0,13,13,7,space,1.28645992279,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,18,shut,Say 'shut' again,0,14,14,17,space,1.66709184647,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,50,shut,The word is 'shut',0,15,15,49,space,1.63579487801,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,52,gut,The word is 'gut',0,16,16,51,space,1.33577394485,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,28,wrought,Say 'wrought' again,0,17,17,27,space,1.56988596916,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,19,nut,Say 'nut' again,0,18,18,18,space,1.45219016075,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,27,port,Say 'port' again,0,19,19,26,space,1.42042279243,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,14,mick,Say 'mick' again,0,20,20,13,space,1.57055997849,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,26,short,Say 'short' again,0,21,21,25,space,1.75229787827,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,36,rat,The word is 'rat',0,22,22,35,space,1.66932892799,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,33,cat,The word is 'cat',0,23,23,32,space,1.41955494881,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,61,talk,The word is 'talk',0,24,24,60,space,1.65302681923,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,47,chick,The word is 'chick',0,25,25,46,space,1.35206604004,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,11,kit,Say 'kit' again,0,26,26,10,space,1.48676395416,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,4,rat,Say 'rat' again,0,27,27,3,space,1.4195420742,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,37,Jack,The word is 'Jack',0,28,28,36,space,1.36954188347,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,60,wrought,The word is 'wrought',0,29,29,59,space,1.41903090477,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,25,sort,Say 'sort' again,0,30,30,24,space,1.401927948,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,21,luck,Say 'luck' again,0,31,31,20,space,1.43617606163,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,34,fat,The word is 'fat',0,32,32,33,space,1.55296397209,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,51,nut,The word is 'nut',0,33,33,50,space,1.36920690536,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,29,talk,Say 'talk' again,0,34,34,28,space,1.55230689049,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,46,mick,The word is 'mick',0,35,35,45,space,1.53678703308,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,20,gut,Say 'gut' again,0,36,36,19,space,1.28426003456,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,45,kick,The word is 'kick',0,37,37,44,space,1.43744397163,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,5,Jack,Say 'Jack' again,0,38,38,4,space,1.38571286201,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
