position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
medial,20,gut,Say 'gut' again,0,0,0,19,space,4.10554981232,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,36,rat,The word is 'rat',0,1,1,35,space,3.63766980171,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,32,cork,Say 'cork' again,0,2,2,31,space,3.10326910019,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,26,short,Say 'short' again,0,3,3,25,space,2.90106487274,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,5,Jack,Say 'Jack' again,0,4,4,4,space,2.83613991737,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,25,sort,Say 'sort' again,0,5,5,24,space,2.86936998367,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,49,cut,The word is 'cut',0,6,6,48,space,3.20448303223,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,13,kick,Say 'kick' again,0,7,7,12,space,2.82022309303,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,47,chick,The word is 'chick',0,8,8,46,space,2.83609294891,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,51,nut,The word is 'nut',0,9,9,50,space,2.63602519035,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,21,luck,Say 'luck' again,0,10,10,20,space,2.97049093246,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,17,cut,Say 'cut' again,0,11,11,16,space,2.58769917488,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,56,tuck,The word is 'tuck',0,12,12,55,space,3.43646407127,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,16,wick,Say 'wick' again,0,13,13,15,space,2.8877530098,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,10,lit,Say 'lit' again,0,14,14,9,space,2.7196969986,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,55,muck,The word is 'muck',0,15,15,54,space,3.28691315651,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,3,chat,Say 'chat' again,0,16,16,2,space,2.7861931324,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,38,pack,The word is 'pack',0,17,17,37,space,2.77042913437,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,31,pork,Say 'pork' again,0,18,18,30,space,2.18772387505,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,2,fat,Say 'fat' again,0,19,19,1,space,2.8871409893,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,59,port,The word is 'port',0,20,20,58,space,3.15399384499,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,40,tack,The word is 'tack',0,21,21,39,space,2.95228505135,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,48,wick,The word is 'wick',0,22,22,47,space,2.53477120399,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,60,wrought,The word is 'wrought',0,23,23,59,space,2.60291695595,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,43,kit,The word is 'kit',0,24,24,42,space,2.85437703133,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,52,gut,The word is 'gut',0,25,25,51,space,2.62008190155,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,45,kick,The word is 'kick',0,26,26,44,space,2.48719406128,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,44,fit,The word is 'fit',0,27,27,43,space,2.73677682877,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,41,writ,The word is 'writ',0,28,28,40,space,3.20348906517,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,37,Jack,The word is 'Jack',0,29,29,36,space,2.55303502083,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,23,muck,Say 'muck' again,0,30,30,22,space,2.23550009727,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,28,wrought,Say 'wrought' again,0,31,31,27,space,2.85077285767,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,30,walk,Say 'walk' again,0,32,32,29,space,2.72060108185,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,42,lit,The word is 'lit',0,33,33,41,space,2.33678889275,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,22,duck,Say 'duck' again,0,34,34,21,space,2.08580780029,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,12,fit,Say 'fit' again,0,35,35,11,space,2.16950702667,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,8,tack,Say 'tack' again,0,36,36,7,space,2.01941990852,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,58,short,The word is 'short',0,37,37,57,space,2.77028012276,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,63,pork,The word is 'pork',0,38,38,62,space,2.40255403519,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,54,duck,The word is 'duck',0,39,39,53,space,2.67045307159,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,57,sort,The word is 'sort',0,40,40,56,space,2.45267319679,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,62,walk,The word is 'walk',0,41,41,61,space,2.58575105667,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,35,chat,The word is 'chat',0,42,42,34,space,3.13602304459,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,34,fat,The word is 'fat',0,43,43,33,space,2.40408992767,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,15,chick,Say 'chick' again,0,44,44,14,space,2.52034115791,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,7,Mac,Say 'Mac' again,0,45,45,6,space,1.95289206505,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,64,cork,The word is 'cork',0,46,46,63,space,2.48603892326,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,9,writ,Say 'writ' again,0,47,47,8,space,2.25310897827,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,18,shut,Say 'shut' again,0,48,48,17,space,2.4688949585,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,46,mick,The word is 'mick',0,49,49,45,space,2.41946005821,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,39,Mac,The word is 'Mac',0,50,50,38,space,2.23725008965,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,61,talk,The word is 'talk',0,51,51,60,space,2.10215497017,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,4,rat,Say 'rat' again,0,52,52,3,space,1.98618602753,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,6,pack,Say 'pack' again,0,53,53,5,space,1.82028198242,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,1,cat,Say 'cat' again,0,54,54,0,space,2.00266885757,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,14,mick,Say 'mick' again,0,55,55,13,space,1.55374312401,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,11,kit,Say 'kit' again,0,56,56,10,space,2.01990199089,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,33,cat,The word is 'cat',0,57,57,32,space,2.20440983772,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,50,shut,The word is 'shut',0,58,58,49,space,1.88578605652,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,53,luck,The word is 'luck',0,59,59,52,space,2.5203230381,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,27,port,Say 'port' again,0,60,60,26,space,2.55363416672,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,29,talk,Say 'talk' again,0,61,61,28,space,2.4039349556,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,24,tuck,Say 'tuck' again,0,62,62,23,space,2.03629398346,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,19,nut,Say 'nut' again,0,63,63,18,space,3.03724694252,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,63,pork,The word is 'pork',1,0,64,62,space,2.75322198868,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,13,kick,Say 'kick' again,1,1,65,12,space,2.15295815468,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,39,Mac,The word is 'Mac',1,2,66,38,space,1.86915206909,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,12,fit,Say 'fit' again,1,3,67,11,space,2.37018299103,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,4,rat,Say 'rat' again,1,4,68,3,space,1.55327606201,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,53,luck,The word is 'luck',1,5,69,52,space,2.1195628643,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,52,gut,The word is 'gut',1,6,70,51,space,2.03636813164,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,10,lit,Say 'lit' again,1,7,71,9,space,2.48621177673,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,62,walk,The word is 'walk',1,8,72,61,space,2.40323805809,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,17,cut,Say 'cut' again,1,9,73,16,space,2.30373811722,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,45,kick,The word is 'kick',1,10,74,44,space,2.28599596024,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,32,cork,Say 'cork' again,1,11,75,31,space,1.80178308487,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,2,fat,Say 'fat' again,1,12,76,1,space,1.70285701752,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,6,pack,Say 'pack' again,1,13,77,5,space,1.96855020523,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,33,cat,The word is 'cat',1,14,78,32,space,2.55358195305,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,51,nut,The word is 'nut',1,15,79,50,space,2.41910004616,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,48,wick,The word is 'wick',1,16,80,47,space,2.38504290581,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,43,kit,The word is 'kit',1,17,81,42,space,1.8701839447,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,42,lit,The word is 'lit',1,18,82,41,space,2.18742918968,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,34,fat,The word is 'fat',1,19,83,33,space,1.63700819016,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,26,short,Say 'short' again,1,20,84,25,space,2.2702589035,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,24,tuck,Say 'tuck' again,1,21,85,23,space,1.31932091713,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,40,tack,The word is 'tack',1,22,86,39,space,2.00379419327,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,36,rat,The word is 'rat',1,23,87,35,space,2.00290513039,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,57,sort,The word is 'sort',1,24,88,56,space,1.88559699059,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,58,short,The word is 'short',1,25,89,57,space,2.3193089962,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,5,Jack,Say 'Jack' again,1,26,90,4,space,2.31931900978,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,25,sort,Say 'sort' again,1,27,91,24,space,2.03658914566,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,7,Mac,Say 'Mac' again,1,28,92,6,space,2.086769104,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,8,tack,Say 'tack' again,1,29,93,7,space,1.63521790504,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,44,fit,The word is 'fit',1,30,94,43,space,1.88671088219,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,59,port,The word is 'port',1,31,95,58,space,2.15356993675,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,54,duck,The word is 'duck',1,32,96,53,space,1.6522629261,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,15,chick,Say 'chick' again,1,33,97,14,space,1.73569202423,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,55,muck,The word is 'muck',1,34,98,54,space,1.78728890419,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,11,kit,Say 'kit' again,1,35,99,10,space,1.81897497177,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,19,nut,Say 'nut' again,1,36,100,18,space,1.90277504921,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,16,wick,Say 'wick' again,1,37,101,15,space,1.35319185257,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,18,shut,Say 'shut' again,1,38,102,17,space,1.61907792091,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,28,wrought,Say 'wrought' again,1,39,103,27,space,1.88666915894,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,30,walk,Say 'walk' again,1,40,104,29,space,1.85192990303,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,31,pork,Say 'pork' again,1,41,105,30,space,1.76982808113,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,41,writ,The word is 'writ',1,42,106,40,space,1.66902899742,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,56,tuck,The word is 'tuck',1,43,107,55,space,2.00119805336,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,14,mick,Say 'mick' again,1,44,108,13,space,1.8023121357,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,23,muck,Say 'muck' again,1,45,109,22,space,2.01999688148,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,9,writ,Say 'writ' again,1,46,110,8,space,1.20202898979,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
final,49,cut,The word is 'cut',1,47,111,48,space,1.96960878372,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,21,luck,Say 'luck' again,1,48,112,20,space,1.70313477516,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
medial,20,gut,Say 'gut' again,1,49,113,19,space,1.83582901955,24,60.3227045164,F,glottal_pilot,2018_Apr_23_1134,F001,
