word_id,word,frequency,log_frequency,consonant_1,vowel,consonant_2
1,cat,13608,4.83,k,æ,t
2,fat,11832,4.77,f,æ,t
3,chat,7933,4.6,tʃ,æ,t
4,rat,3386,4.23,r,æ,t
5,jack,20914,5.02,dʒ,æ,k
6,pack,8492,4.62,p,æ,k
7,mac,2354,4.07,m,æ,k
8,tack,637,3.5,t,æ,k
9,writ,500,3.4,r,ɪ,t
10,lit,2111,4.02,l,ɪ,t
11,kit,5592,4.44,k,ɪ,t
12,fit,18693,4.97,f,ɪ,t
13,kick,16318,4.91,k,ɪ,k
14,mick,3267,4.21,m,ɪ,k
15,chick,1829,3.96,tʃ,ɪ,k
16,wick,293,3.16,w,ɪ,k
17,cut,45221,5.35,k,ʌ,t
18,shut,14350,4.85,ʃ,ʌ,t
19,nut,1968,3.99,n,ʌ,t
20,gut,1800,3.95,g,ʌ,t
21,luck,35653,5.25,l,ʌ,k
22,duck,6819,4.53,d,ʌ,k
23,muck,2040,4.01,m,ʌ,k
24,tuck,1306,3.81,t,ʌ,k
25,sort,82115,5.61,s,ɔː,t
26,short,26861,5.13,ʃ,ɔː,t
27,port,6241,4.49,p,ɔː,t
28,wrought,295,3.17,r,ɔː,t
29,talk,66251,5.52,t,ɔː,k
30,walk,31343,5.19,w,ɔː,k
31,pork,4928,4.39,p,ɔː,k
32,cork,1112,3.74,k,ɔː,k
